text,drug,effect,indexes
Intravenous azithromycin-induced ototoxicity.,azithromycin,ototoxicity,"{'drug': {'start_char': [12], 'end_char': [24]}, 'effect': {'start_char': [33], 'end_char': [44]}}"
"Immobilization, while Paget's bone disease was present, and perhaps enhanced activation of dihydrotachysterol by rifampicin, could have led to increased calcium-release into the circulation.",dihydrotachysterol,increased calcium-release,"{'drug': {'start_char': [91], 'end_char': [109]}, 'effect': {'start_char': [143], 'end_char': [168]}}"
Unaccountable severe hypercalcemia in a patient treated for hypoparathyroidism with dihydrotachysterol.,dihydrotachysterol,hypercalcemia,"{'drug': {'start_char': [84], 'end_char': [102]}, 'effect': {'start_char': [21], 'end_char': [34]}}"
METHODS: We report two cases of pseudoporphyria caused by naproxen and oxaprozin.,naproxen,pseudoporphyria,"{'drug': {'start_char': [58], 'end_char': [66]}, 'effect': {'start_char': [32], 'end_char': [47]}}"
METHODS: We report two cases of pseudoporphyria caused by naproxen and oxaprozin.,oxaprozin,pseudoporphyria,"{'drug': {'start_char': [71], 'end_char': [80]}, 'effect': {'start_char': [32], 'end_char': [47]}}"
"Naproxen, the most common offender, has been associated with a dimorphic clinical pattern: a PCT-like presentation and one simulating erythropoietic protoporphyria in the pediatric population.",Naproxen,erythropoietic protoporphyria,"{'drug': {'start_char': [0], 'end_char': [8]}, 'effect': {'start_char': [134], 'end_char': [163]}}"
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,naproxen,cutaneous fragility,"{'drug': {'start_char': [34], 'end_char': [42]}, 'effect': {'start_char': [163], 'end_char': [182]}}"
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,oxaprozin,cutaneous fragility,"{'drug': {'start_char': [96], 'end_char': [105]}, 'effect': {'start_char': [163], 'end_char': [182]}}"
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,naproxen,tense bullae,"{'drug': {'start_char': [34], 'end_char': [42]}, 'effect': {'start_char': [146], 'end_char': [158]}}"
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,oxaprozin,tense bullae,"{'drug': {'start_char': [96], 'end_char': [105]}, 'effect': {'start_char': [146], 'end_char': [158]}}"
BACKGROUND: How to best treat psychotic patients who have had past clozapine-induced agranulocytosis or granulocytopenia remains a problem.,clozapine,granulocytopenia,"{'drug': {'start_char': [67], 'end_char': [76]}, 'effect': {'start_char': [104], 'end_char': [120]}}"
CONCLUSION: The results suggest that olanzapine may be useful in treating patients with clozapine-induced granulocytopenia without the risk of recurrence of hematologic side effects.,clozapine,granulocytopenia,"{'drug': {'start_char': [88], 'end_char': [97]}, 'effect': {'start_char': [106], 'end_char': [122]}}"
Prolonged severe 5-fluorouracil-associated neurotoxicity in a patient with dihydropyrimidine dehydrogenase deficiency.,5-fluorouracil,neurotoxicity,"{'drug': {'start_char': [17], 'end_char': [31]}, 'effect': {'start_char': [43], 'end_char': [56]}}"
"We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.",5-FU,neurologic toxicity,"{'drug': {'start_char': [32], 'end_char': [36]}, 'effect': {'start_char': [151], 'end_char': [170]}}"
"We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.",5-FU,prolonged myelosuppression,"{'drug': {'start_char': [32], 'end_char': [36]}, 'effect': {'start_char': [119], 'end_char': [145]}}"
"We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.",5-FU,severe mucositis,"{'drug': {'start_char': [32], 'end_char': [36]}, 'effect': {'start_char': [76], 'end_char': [92]}}"
"This case suggests that BH-AC, a derivative of cytosine arabinoside (1-beta-D-arabinofuranosylcytosine) could be a cause of reversible encephalopathy syndrome.",BH-AC,encephalopathy syndrome,"{'drug': {'start_char': [24], 'end_char': [29]}, 'effect': {'start_char': [135], 'end_char': [158]}}"
"We report a case of reversible encephalopathy syndrome in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of BH-AC (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and idarubicin.",BH-AC,encephalopathy syndrome,"{'drug': {'start_char': [180], 'end_char': [185]}, 'effect': {'start_char': [31], 'end_char': [54]}}"
"We report a case of reversible encephalopathy syndrome in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of BH-AC (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and idarubicin.",idarubicin,encephalopathy syndrome,"{'drug': {'start_char': [239], 'end_char': [249]}, 'effect': {'start_char': [31], 'end_char': [54]}}"
"In one case, the readministration of riluzole was followed by the relapse of hepatitis.",riluzole,hepatitis,"{'drug': {'start_char': [37], 'end_char': [45]}, 'effect': {'start_char': [77], 'end_char': [86]}}"
"We report the cases of two patients who developed acute hepatitis after taking riluzole at the recommended dose (100 mg daily) for 7 and 4 weeks, respectively.",riluzole,hepatitis,"{'drug': {'start_char': [79], 'end_char': [87]}, 'effect': {'start_char': [56], 'end_char': [65]}}"
Lupus-like syndrome caused by 5-aminosalicylic acid in patients with inflammatory bowel disease.,5-aminosalicylic acid,Lupus-like syndrome,"{'drug': {'start_char': [30], 'end_char': [51]}, 'effect': {'start_char': [0], 'end_char': [19]}}"
"Although the two local anesthetics usually do not cause methemoglobinemia, we suspect that the displacement of lidocaine from protein binding by bupivacaine, in combination with metabolic acidosis and treatment with other oxidants, was the reason for the development of methemoglobinemia.",lidocaine,methemoglobinemia,"{'drug': {'start_char': [111], 'end_char': [120]}, 'effect': {'start_char': [56, 270], 'end_char': [73, 287]}}"
Methemoglobinemia after axillary block with bupivacaine and additional injection of lidocaine in the operative field.,bupivacaine,Methemoglobinemia,"{'drug': {'start_char': [44], 'end_char': [55]}, 'effect': {'start_char': [0], 'end_char': [17]}}"
Methemoglobinemia after axillary block with bupivacaine and additional injection of lidocaine in the operative field.,lidocaine,Methemoglobinemia,"{'drug': {'start_char': [84], 'end_char': [93]}, 'effect': {'start_char': [0], 'end_char': [17]}}"
We report a patient with chronic renal failure and ischemic heart disease who developed clinically significant methemoglobinemia after an axillary block with bupivacaine and additional injection of lidocaine in the operative field.,bupivacaine,methemoglobinemia,"{'drug': {'start_char': [158], 'end_char': [169]}, 'effect': {'start_char': [111], 'end_char': [128]}}"
We report a patient with chronic renal failure and ischemic heart disease who developed clinically significant methemoglobinemia after an axillary block with bupivacaine and additional injection of lidocaine in the operative field.,lidocaine,methemoglobinemia,"{'drug': {'start_char': [198], 'end_char': [207]}, 'effect': {'start_char': [111], 'end_char': [128]}}"
Detection of activated eosinophils in nasal polyps of an aspirin-induced asthma patient.,aspirin,asthma,"{'drug': {'start_char': [57], 'end_char': [64]}, 'effect': {'start_char': [73], 'end_char': [79]}}"
An episode of subacute encephalopathy after the infusion of a moderate dose of methotrexate (1500 mg/m2) (MTX) is reported in a young adult with metastastic gastric cancer.,methotrexate,encephalopathy,"{'drug': {'start_char': [79], 'end_char': [91]}, 'effect': {'start_char': [23], 'end_char': [37]}}"
"We believe that this represents an unusual case of moderate-dose MTX-induced neurotoxicity in a patient with gastric cancer, which has not previously been reported.",MTX,neurotoxicity,"{'drug': {'start_char': [65], 'end_char': [68]}, 'effect': {'start_char': [77], 'end_char': [90]}}"
We describe a life threatening side effect of acute epoprostenol infusion (pulmonary edema) in a patient with pulmonary hypertension associated with limited scleroderma and discuss its management and potential etiology.,epoprostenol,pulmonary edema,"{'drug': {'start_char': [52], 'end_char': [64]}, 'effect': {'start_char': [75], 'end_char': [90]}}"
A 14-year-old girl with newly diagnosed SLE developed a pruritic bullous eruption while on prednisone.,prednisone,pruritic bullous eruption,"{'drug': {'start_char': [91], 'end_char': [101]}, 'effect': {'start_char': [56], 'end_char': [81]}}"
Hydroxyurea-induced acute interstitial pneumonitis in a patient with essential thrombocythemia.,Hydroxyurea,acute interstitial pneumonitis,"{'drug': {'start_char': [0], 'end_char': [11]}, 'effect': {'start_char': [20], 'end_char': [50]}}"
The clinical course suggests that the interstitial pneumonitis was induced by hydroxyurea.,hydroxyurea,interstitial pneumonitis,"{'drug': {'start_char': [78], 'end_char': [89]}, 'effect': {'start_char': [38], 'end_char': [62]}}"
This is the first case of hydroxyurea-induced acute interstitial pneumonitis reported in the literature.,hydroxyurea,acute interstitial pneumonitis,"{'drug': {'start_char': [26], 'end_char': [37]}, 'effect': {'start_char': [46], 'end_char': [76]}}"
Allergic and irritant contact dermatitis to calcipotriol.,calcipotriol,irritant contact dermatitis,"{'drug': {'start_char': [44], 'end_char': [56]}, 'effect': {'start_char': [13], 'end_char': [40]}}"
"Calcipotriol (Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland) may cause irritation of the skin, whereas allergic reactions are less common.",Calcipotriol,allergic reactions,"{'drug': {'start_char': [0], 'end_char': [12]}, 'effect': {'start_char': [110], 'end_char': [128]}}"
